id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,native,type,level,parent_id,population,timezone,wikiDataId
80572,Bagua Grande,3685,AMA,Amazonas,173,PE,Peru,-5.75611,-78.44111,Bagua Grande,adm3,,,20382.0,America/Lima,Q793765
80582,Cajaruro,3685,AMA,Amazonas,173,PE,Peru,-5.73639,-78.42556,Vale,adm3,,,7281.0,America/Lima,Q205119
80602,Chachapoyas,3685,AMA,Amazonas,173,PE,Peru,-6.23169,-77.86903,Chachapoyas,adm1,,,32026.0,America/Lima,Q757133
80632,Condorcanqui,3685,AMA,Amazonas,173,PE,Peru,-4.16515,-78.0384,Condorcanqui,city,,,42470.0,America/Lima,Q1288434
80689,La Peca,3685,AMA,Amazonas,173,PE,Peru,-5.61111,-78.435,La Peca,adm3,,,27045.0,America/Lima,Q1759360
80781,Provincia de Bagua,3685,AMA,Amazonas,173,PE,Peru,-5.09006,-78.39972,Provincia de Bagua,adm3,,,74100.0,America/Lima,Q1366082
80784,Provincia de Bongará,3685,AMA,Amazonas,173,PE,Peru,-5.68341,-77.87308,Provincia de Bongará,city,,,25637.0,America/Lima,Q1342814
80803,Provincia de Chachapoyas,3685,AMA,Amazonas,173,PE,Peru,-6.2748,-77.81067,Provincia de Chachapoyas,adm3,,,55506.0,America/Lima,Q997406
80857,Provincia de Luya,3685,AMA,Amazonas,173,PE,Peru,-6.41667,-78.0,Provincia de Luya,adm3,,,44436.0,America/Lima,Q268277
80885,Provincia de Rodríguez de Mendoza,3685,AMA,Amazonas,173,PE,Peru,-6.33333,-77.41667,Provincia de Rodríguez de Mendoza,adm3,,,29998.0,America/Lima,Q1366038
81006,Utcubamba,3685,AMA,Amazonas,173,PE,Peru,-5.77031,-78.3285,Utcubamba,adm3,,,107237.0,America/Lima,Q941183
80564,Asuncion,3680,ANC,Áncash,173,PE,Peru,-9.18987,-77.39878,Asunción,adm3,,,7378.0,America/Lima,Q1166116
80594,Carás,3680,ANC,Áncash,173,PE,Peru,-9.04692,-77.80901,Carás,city,,,503.0,America/Lima,Q1035471
80592,Carhuaz,3680,ANC,Áncash,173,PE,Peru,-9.28194,-77.64472,Carhuaz,adm3,,,5044.0,America/Lima,Q1036082
80593,Carlos Fermin Fitzcarrald,3680,ANC,Áncash,173,PE,Peru,-9.04415,-77.24168,Carlos Fermin Fitzcarrald,adm3,,,17717.0,America/Lima,Q633478
80615,Chimbote,3680,ANC,Áncash,173,PE,Peru,-9.08528,-78.57833,Chimbote,adm3,,,395100.0,America/Lima,Q518431
